"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Amador","Lambert Fire","21","38.424016","-121.006635","Wildfire","2020-10-04 05:46:20-07","2020-10-04","2020","10","2020-10-06 12:04:00-07","2020-10-06","8b25feb1-9eb7-433d-8abf-d6ab554c9fe3"
"Yuba","Fields Fire ","56","39.181047","-121.450982","Wildfire","2020-10-06 23:06:33-07","2020-10-07","2020","10","2020-10-07 01:34:00-07","2020-10-07","b341b09d-2024-4b2a-a439-f39409abb432"
"Tehama, Glenn","Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ","19609","40.09571","-122.4393","Wildfire","2020-08-17 02:12:42-07","2020-08-17","2020","8","2020-10-09 08:20:00-07","2020-10-09","f6aba342-3b28-460b-a88a-96ccbdcb3c14"
"Contra Costa","Irvine Fire","30","37.821737","-122.104314","Wildfire","2020-10-11 11:04:00-07","2020-10-11","2020","10","2020-10-11 17:00:00-07","2020-10-12","65b0ce28-b5e6-4dfc-b569-96716e556c90"
"Shasta, Tehama","Zogg Fire","56338","40.53927","-122.56656","Wildfire","2020-09-27 09:03:27-07","2020-09-27","2020","9","2020-10-13 10:02:00-07","2020-10-13","f0a3f022-0d5a-4d47-93c7-2a73cb081740"
"Calaveras","Diamond Fire","21","37.98337","-120.64541","Wildfire","2020-10-13 07:31:29-07","2020-10-13","2020","10","2020-10-15 02:00:00-07","2020-10-15","4a85b108-3756-4b00-9767-56591a517c8d"
"San Bernardino","Bruder Fire","170","34.014728","-117.138078","Wildfire","2020-10-14 22:40:14-07","2020-10-15","2020","10","2020-10-16 06:33:00-07","2020-10-16","45c76674-7d01-4fff-bb00-a08013019a86"
"Napa, Sonoma","Glass Fire","67484","38.56295","-122.49745","Wildfire","2020-09-27 01:48:00-07","2020-09-27","2020","9","2020-10-20 04:00:00-07","2020-10-20","d6b00a56-682d-4908-bf07-45eef54c9198"
"El Dorado","Cameron Fire","15","38.659387","-120.964726","Wildfire","2020-10-18 13:42:24-07","2020-10-18","2020","10","2020-10-21 10:16:00-07","2020-10-21","cbd8fd0c-8d0f-4df3-aea3-1355a685bb96"
"Butte","Ferry Fire","6","39.51694","-121.54475","Wildfire","2020-10-22 07:43:49-07","2020-10-22","2020","10","2020-10-22 10:12:00-07","2020-10-22","64ea3d93-de8b-41fc-b5eb-af37e8ac1f95"
"Shasta","Olinda Fire","5","40.41486","-122.342","Wildfire","2020-10-25 07:22:27-07","2020-10-25","2020","10","2020-10-25 00:07:00-07","2020-10-25","fb6cb221-c303-4573-bd63-0c8b1468d4a2"
"Napa","Pope Fire","61","38.56184","-122.37828","Wildfire","2020-10-23 10:25:43-07","2020-10-23","2020","10","2020-10-25 12:10:00-07","2020-10-25","67cd9b6f-a40b-4f0d-8efc-2dbe4fd9d990"
"Orange","Blue Ridge Fire ","13964","33.877257","-117.675067","Wildfire","2020-10-26 07:32:41-07","2020-10-26","2020","10","2020-11-06 23:06:00-08","2020-11-07","21b0622c-8b4d-439b-8175-d4ba20507d02"
"Orange","Silverado Fire ","12466","33.73614","-117.65719","Wildfire","2020-10-26 00:54:50-07","2020-10-26","2020","10","2020-11-06 23:07:00-08","2020-11-07","a2b27cff-5d89-423a-853e-3a78e63f79ef"
"Los Angeles","San Dimas Fire","131","34.146195","-117.778561","Wildfire","2020-11-05 23:28:52-08","2020-11-06","2020","11","2020-11-07 06:43:00-08","2020-11-07","e9482561-8193-48a9-a152-2ff8d993ce06"
"Fresno","Bullfrog Fire","1185","37.135474","-119.027309","Wildfire","2020-09-12 06:57:57-07","2020-09-12","2020","9","2020-11-09 06:06:00-08","2020-11-09","aab65b54-103c-4101-a70b-5983533d49e9"
"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa","August Complex (includes Doe Fire)","1032648","39.776","-122.673","Wildfire","2020-08-16 13:37:26-07","2020-08-16","2020","8","2020-11-11 02:21:44-08","2020-11-11","b8f267be-9911-44ee-8a73-7a0537fbd6fa"
"San Bernardino, Riverside","El Dorado Fire","22744","34.08056","-116.98669","Wildfire","2020-09-05 05:51:00-07","2020-09-05","2020","9","2020-11-16 00:00:00-08","2020-11-16","5367d20e-b24c-40ef-acd1-93c05e4b73b9"
NULL,"257 Fire","49","41.4435","-120.87054","Wildfire","2020-11-17 04:47:00-08","2020-11-17","2020","11","2020-11-17 11:05:14-08","2020-11-17","c5b45f76-3b72-4f3d-b651-7c7bb0f156b7"
"Lassen","Thomas Fire","24","41.591948","-120.374514","Wildfire","2020-12-03 05:32:00-08","2020-12-03","2020","12","2020-12-03 09:40:29-08","2020-12-03","ad807579-4f4f-4a5a-a17a-7ca299aca978"
"Orange","Bond Fire","6686","33.743842","-117.674967","Wildfire","2020-12-02 14:14:00-08","2020-12-02","2020","12","2020-12-10 10:59:25-08","2020-12-10","a2665121-7dd7-4a4c-8c6e-0731ed9e1888"
"Riverside","Airport Fire","1087","33.893351","-117.62109","Wildfire","2020-12-01 09:27:18-08","2020-12-01","2020","12","2020-12-11 23:26:17-08","2020-12-12","2b6aedb5-87fe-447c-a772-bec58abb8820"
"Riverside","Sanderson Fire","1954","33.93244","-117.03459","Wildfire","2020-12-13 00:00:00-08","2020-12-13","2020","12","2020-12-14 09:50:00-08","2020-12-14","0dad0a68-239b-41b5-bfe0-033e6a216fac"
"Ventura","Erbes Fire","250","34.20955","-118.83967","Wildfire","2021-01-14 08:00:00-08","2021-01-14","2021","1","2021-01-15 05:45:05-08","2021-01-15","2347b6fb-8468-46bb-9917-d5cea3f1efdd"
"Kern","Wolf Fire","865","34.99432","-119.185309","Wildfire","2021-01-19 03:47:00-08","2021-01-19","2021","1","2021-01-19 23:12:18-08","2021-01-20","75711186-5792-4c41-9309-48dbac8e667d"
"Riverside","72 Fire","43","33.52871","-116.10723","Wildfire","2021-01-19 06:48:24-08","2021-01-19","2021","1","2021-01-20 05:46:53-08","2021-01-20","b38fdc2c-3108-4273-8a67-8d69bdbfb6bb"
"Santa Cruz","Panther Ridge Fire","20","37.18381","-122.13372","Wildfire","2021-01-19 07:25:39-08","2021-01-19","2021","1","2021-01-22 10:02:12-08","2021-01-22","7be84564-edf7-4724-99ba-5c1ee7f86e30"
"Santa Cruz","Freedom Fire","37","36.98767","-121.83627","Wildfire","2021-01-19 11:13:18-08","2021-01-19","2021","1","2021-01-22 10:09:27-08","2021-01-22","1ebddf4e-0190-4363-a858-ac789206b5fd"
"Kern","Grapevine Fire","86","35.5819816117628","-117.5910734433329","Wildfire","2021-03-14 11:35:00-07","2021-03-14","2021","3","2021-03-20 02:54:54-07","2021-03-20","21a360ea-3a4e-4267-986e-3bb1416ca05b"
"Shasta","Woodman Fire","35","40.6758842","-122.0536419","Wildfire","2021-04-01 08:56:00-07","2021-04-01","2021","4","2021-04-01 14:19:17-07","2021-04-01","da35c08b-9f0a-42b2-9e1f-b6e9a545d3fb"
"San Diego","Paso Fire","28","32.958961","-116.582369","Wildfire","2021-04-12 11:44:23-07","2021-04-12","2021","4","2021-04-13 11:00:00-07","2021-04-13","02ba1be4-fecc-49a6-927d-8da38d215851"
"Mendocino","Turnout Fire","200","38.99914","-123.35838","Wildfire","2021-04-18 10:46:54-07","2021-04-18","2021","4","2021-04-24 12:04:15-07","2021-04-24","6a7cee19-fc90-4f87-a306-48ccd9cee200"
"Sutter","River Fire","80","38.9743823","-121.5896697","Wildfire","2021-04-19 13:29:35-07","2021-04-19","2021","4","2021-05-01 02:35:18-07","2021-05-01","81d9dc1d-9cff-4a22-a6c6-2a4f94cf30ed"
"Lake","Sky Fire","65","38.88437128468346","-122.51771555326388","Wildfire","2021-04-29 05:44:00-07","2021-04-29","2021","4","2021-05-01 10:32:27-07","2021-05-01","5f8ebcac-e1f0-4659-9f38-f3e862a3a440"
"Los Angeles","North Fire","650","34.449686","-118.616276","Wildfire","2021-04-28 16:04:57-07","2021-04-28","2021","4","2021-05-03 02:57:29-07","2021-05-03","4f4775e4-cd91-4f78-a1de-9c15213ebed2"
"Riverside","Creek Fire","32","33.532246","-116.767011","Wildfire","2021-05-04 06:28:00-07","2021-05-04","2021","5","2021-05-04 11:00:00-07","2021-05-04","fb63695d-fd59-47dd-9247-e5a7099b5fce"
"San Diego","Southern Fire","5366","32.987532","-116.443391","Wildfire","2021-05-01 17:56:04-07","2021-05-02","2021","5","2021-05-05 23:53:36-07","2021-05-06","89467f5f-2562-47dc-99b6-cb8ec90c3a12"
"Riverside","Bridge Fire","226","33.86972","-117.044072","Wildfire","2021-05-05 16:30:06-07","2021-05-05","2021","5","2021-05-05 23:56:43-07","2021-05-06","c3f573fc-ece2-4b19-a67e-069bf3fc0c16"
"Butte","Gunnison Fire","550","39.85479","-121.91936","Wildfire","2021-05-08 06:44:53-07","2021-05-08","2021","5","2021-05-08 03:13:00-07","2021-05-08","25d0bdd9-c422-459a-bc12-d9cae4843518"
"Sacramento","Dillard Fire","44","38.28328","-121.45965","Wildfire","2021-05-08 10:29:49-07","2021-05-08","2021","5","2021-05-08 13:05:33-07","2021-05-08","0b59568a-ab13-4acf-965a-18e9b18ae223"
"Calaveras","Granite Fire","118","38.03106","-120.85258","Wildfire","2021-05-08 08:02:45-07","2021-05-08","2021","5","2021-05-08 14:35:49-07","2021-05-08","baef627e-c3ba-4c3c-8a55-a168839aa2c8"
"Yuba","Quail Fire","35","39.2510745","-121.361339","Wildfire","2021-05-12 13:48:43-07","2021-05-12","2021","5","2021-05-12 07:53:27-07","2021-05-12","ee1dc476-97d4-4da9-a2ba-d3e9f5116309"
"Merced","Fields Fire","97","37.560209","-120.419624","Wildfire","2021-05-14 07:00:00-07","2021-05-14","2021","5","2021-05-15 04:58:36-07","2021-05-15","5afc3e64-eb8a-4aad-9bb5-1f9a20f84bb0"
"Lassen","R-1 Fire","29","40.971612","-120.094517","Wildfire","2021-05-14 06:03:00-07","2021-05-14","2021","5","2021-05-15 05:48:28-07","2021-05-15","0c1abd92-b131-40f4-bcf7-f6d1871af6a1"
"Los Angeles","Pine Fire","442","34.454231","-117.663815","Wildfire","2021-05-12 15:46:39-07","2021-05-12","2021","5","2021-05-20 05:23:55-07","2021-05-20","3bd5d90f-8131-48a0-a02f-1677e5394ce1"
"Los Angeles","WeeVill Fire","300","34.7591895","-118.5044868","Wildfire","2021-05-20 02:27:00-07","2021-05-20","2021","5","2021-05-22 06:35:16-07","2021-05-22","a5bcf6ba-3e09-49f8-b4c4-1b134aa5c83f"
"Los Angeles","Palisades Fire","1202","34.079046","-118.558938","Wildfire","2021-05-14 14:50:41-07","2021-05-14","2021","5","2021-05-26 11:00:00-07","2021-05-26","8c1bfb66-4002-498a-ae39-62b584718519"
"Riverside","Lake Fire","115","33.965596","-117.471517","Wildfire","2021-05-24 06:30:26-07","2021-05-24","2021","5","2021-05-27 00:04:11-07","2021-05-27","9116b7e9-66c8-417b-a1f6-b9b078e240d6"
"Mariposa","Live Oak Fire","197","37.45646","-120.00392","Wildfire","2021-05-27 07:36:00-07","2021-05-27","2021","5","2021-05-31 11:50:19-07","2021-05-31","4f6bdd52-abdc-4c93-a48b-7d7adae05cfc"
"Madera","Smalley Fire","45","37.1619216","-119.5166045","Wildfire","2021-05-31 12:12:45-07","2021-05-31","2021","5","2021-06-03 00:24:58-07","2021-06-03","033ee676-f2f0-4ea8-bbc9-b0bb02de3462"
"Humboldt","Bluff Fire","25","41.23106","-123.66003","Wildfire","2021-05-20 23:55:59-07","2021-05-21","2021","5","2021-06-06 05:26:00-07","2021-06-06","8e8900a0-814f-425a-8b37-bd5098222959"
"Madera","Buck Fire","50","37.24484944019164","-119.86047836209606","Wildfire","2021-06-06 08:20:52-07","2021-06-06","2021","6","2021-06-08 11:32:58-07","2021-06-08","1a1a9275-f16f-4a06-abe6-3ba18e5e9b33"
"Yolo","Creek Fire","34","38.899722","-122.238889","Wildfire","2021-06-09 13:00:00-07","2021-06-09","2021","6","2021-06-10 00:03:23-07","2021-06-10","09996c3f-3186-4c5d-8006-ced791b3ff40"
"San Diego","Sierra Fire","1000","33.315711565249096","-117.34832277422022","Wildfire","2021-06-09 06:53:00-07","2021-06-09","2021","6","2021-06-11 03:03:47-07","2021-06-11","b6391e06-889a-4d69-ba3e-8491af004029"
"San Bernardino","Farm Fire","250","34.383247203440405","-117.41835464122235","Wildfire","2021-06-09 06:15:00-07","2021-06-09","2021","6","2021-06-11 10:04:08-07","2021-06-11","1eea5329-95c3-4a41-974f-7b3693441b1e"
"Yuba","Beale Fire","150","39.1956433","-121.3587065","Wildfire","2021-06-13 12:39:00-07","2021-06-13","2021","6","2021-06-14 10:54:43-07","2021-06-14","92fd111b-2d3a-48c8-bc43-d505eaceb423"
"Santa Clara","Silicon Fire","35","37.24042","-121.76309","Wildfire","2021-06-14 04:40:00-07","2021-06-14","2021","6","2021-06-14 11:36:39-07","2021-06-14","8d9ee304-6918-4f74-b7f1-ec8441020bf9"
"Riverside","Kathryn Fire","15","33.67127","-116.94956","Wildfire","2021-06-15 06:30:00-07","2021-06-15","2021","6","2021-06-15 01:00:19-07","2021-06-15","08a000bd-2c35-4409-abe9-961da323bbe2"
"El Dorado","Equestrian Fire","10","38.79988","-121.01273","Wildfire","2021-06-16 07:03:42-07","2021-06-16","2021","6","2021-06-16 10:07:52-07","2021-06-16","26ec9c89-912e-4c23-a6c9-04b5dcb31970"
"Lake","Pomo Fire","42","39.16338","-122.916","Wildfire","2021-06-17 09:45:06-07","2021-06-17","2021","6","2021-06-17 03:40:44-07","2021-06-17","83e251e4-196f-4db5-b5ba-bed8e300380c"
"Butte","Park Fire","402","39.77144","-121.76629","Wildfire","2021-06-17 14:37:07-07","2021-06-17","2021","6","2021-06-19 12:24:22-07","2021-06-19","6672b6ad-981e-43e8-b4ad-a75285ab9f90"
"Tulare","Antelope Fire","11","36.47887","-119.10788","Wildfire","2021-06-17 23:33:00-07","2021-06-18","2021","6","2021-06-20 00:18:21-07","2021-06-20","587e51fd-ad97-4894-b53e-300a78e4dc80"
"Shasta","Rock Fire","108","40.61468","-122.49164","Wildfire","2021-06-15 10:14:55-07","2021-06-15","2021","6","2021-06-20 05:46:57-07","2021-06-20","2b42f885-f296-4659-98e0-c33585215fa9"
"Inyo","Alabama Fire","560","36.59717","-118.20355","Wildfire","2021-06-18 01:00:00-07","2021-06-18","2021","6","2021-06-21 00:17:16-07","2021-06-21","2947b64d-5835-411b-a603-afcbaf8d53d8"
"Riverside","Flats Fire","341","33.5812044","-116.4518615","Wildfire","2021-06-13 04:12:13-07","2021-06-13","2021","6","2021-06-21 05:28:30-07","2021-06-21","ddcef5cf-9417-4c41-b64b-910e096522fc"
"Placer","Watt Fire","42","38.728881","-121.39247","Wildfire","2021-06-21 09:41:35-07","2021-06-21","2021","6","2021-06-21 12:04:05-07","2021-06-21","1702e4de-4414-4604-a70d-e0f54df154bd"
"Tulare","Success Fire","800","36.03223","-118.85799","Wildfire","2021-06-18 01:00:00-07","2021-06-18","2021","6","2021-06-22 11:00:00-07","2021-06-22","8e8e1a5e-0855-4751-8ad1-70730007657c"
"Tehama","Dairy Fire","165","40.10806","-122.16025","Wildfire","2021-06-15 11:59:10-07","2021-06-15","2021","6","2021-06-24 01:00:00-07","2021-06-24","e86265b9-2ac9-471e-bff4-deb2f46b7b7d"
"Santa Clara","Paseo Fire","37","37.118582","-121.584194","Wildfire","2021-06-25 07:23:00-07","2021-06-25","2021","6","2021-06-25 16:13:01-07","2021-06-25","909624c0-d36c-4b9a-8f34-a9e02961b883"
"El Dorado","Steins Fire","11","38.659971","-120.876096","Wildfire","2021-06-26 06:05:41-07","2021-06-26","2021","6","2021-06-27 08:35:26-07","2021-06-27","b3136d0f-6ef3-46ea-9342-6d6b0d82d274"
"San Diego","Mesa Fire","350","33.337282","-117.095858","Wildfire","2021-06-23 09:01:58-07","2021-06-23","2021","6","2021-06-27 09:51:24-07","2021-06-27","9bacadf6-c7e2-43c9-b8e6-41be7a79579b"
"Kern","Canyon Fire","220","35.442533","-118.793912","Wildfire","2021-06-26 13:47:10-07","2021-06-26","2021","6","2021-06-28 00:08:15-07","2021-06-28","eddffab0-51af-490d-b60e-640300fe6085"
"Modoc","4-3 Fire","134","41.562302","-120.497502","Wildfire","2021-06-24 11:38:46-07","2021-06-24","2021","6","2021-06-28 05:49:19-07","2021-06-28","e9761340-1808-42f6-b773-fb7047a2a638"
"Riverside","Stowe Fire","122","33.740058","-117.050236","Wildfire","2021-06-28 09:48:08-07","2021-06-28","2021","6","2021-06-29 00:34:49-07","2021-06-29","2aaf4aba-1155-4f25-a5a6-fd6ee8d66f8c"
"Fresno","Vulcan Fire","140","36.932","-119.735","Wildfire","2021-06-27 10:05:33-07","2021-06-27","2021","6","2021-06-29 08:35:19-07","2021-06-29","4376d68e-4093-4d4c-aa6f-e0df6d50e9fb"
"Kern","Shell Fire","1984","34.919","-118.891","Wildfire","2021-06-27 06:07:06-07","2021-06-27","2021","6","2021-06-30 11:00:00-07","2021-06-30","62f7b39d-1213-47c2-8118-88eb98908af7"
"Tulare","Nettle Fire","1265","36.03887","-118.76857","Wildfire","2021-06-18 03:11:21-07","2021-06-18","2021","6","2021-07-01 01:58:19-07","2021-07-01","ecdd77c3-2919-44d8-9ee9-c176271b04d0"
"San Bernardino","Peak Fire","35","34.20849","-117.280416","Wildfire","2021-06-28 03:52:00-07","2021-06-28","2021","6","2021-07-01 02:14:18-07","2021-07-01","d6b89198-5fd8-498f-8429-3d2994f496f9"
"Siskiyou","Beswick Fire","118","41.917209","-122.374848","Wildfire","2021-06-28 11:14:00-07","2021-06-28","2021","6","2021-07-03 10:12:39-07","2021-07-03","9692e02d-4a87-48b7-b261-f83f4a951642"
"Tulare","Main Fire","384","36.10007","-119.017899","Wildfire","2021-07-03 01:00:32-07","2021-07-03","2021","7","2021-07-04 10:39:44-07","2021-07-04","421fd9f2-1fbb-4bec-bf19-3318fa4830dc"
"Fresno","Fish Fire","75","36.802809","-119.393795","Wildfire","2021-07-04 10:46:54-07","2021-07-04","2021","7","2021-07-05 10:15:45-07","2021-07-05","be285500-c0c4-4f7e-83ae-1f9a991578b1"
"Fresno","Blue Fire","277","37.02865766813302","-119.25484409482164","Wildfire","2021-06-30 09:22:00-07","2021-06-30","2021","6","2021-07-08 01:05:21-07","2021-07-08","ac0c072d-d926-49f2-8a3d-c18ea5d32010"
"Butte","Sky Fire","76","40.039","-121.406","Wildfire","2021-06-27 10:49:34-07","2021-06-27","2021","6","2021-07-09 01:02:17-07","2021-07-09","9128e6fe-a114-479a-a43c-64ea56411eb5"
"Mendocino","Broiler Fire","80","39.253647","-123.224377","Wildfire","2021-07-07 07:30:00-07","2021-07-07","2021","7","2021-07-09 01:20:37-07","2021-07-09","8c512c44-7ddb-44b4-bf03-bab00c0c0c98"
"Monterey","Willow Fire","2877","36.151231","-121.558858","Wildfire","2021-06-18 04:49:41-07","2021-06-18","2021","6","2021-07-11 01:24:03-07","2021-07-11","961a9b24-0bad-4c53-9809-14fe98d515c4"
"Contra Costa","Diablo Fire","128","37.865193","-121.667665","Wildfire","2021-07-11 02:22:05-07","2021-07-11","2021","7","2021-07-11 09:22:18-07","2021-07-11","215529d8-6c0a-4dfa-8d6f-342a5666e1f2"
"Los Angeles","Tumbleweed Fire","868","34.808751","-118.87933","Wildfire","2021-07-04 07:49:36-07","2021-07-04","2021","7","2021-07-12 06:22:50-07","2021-07-12","a7d2c14e-66e8-4ac6-9538-ad9612dce2d5"
"Kern","Bear Fire","71","34.85178","-118.81448","Wildfire","2021-07-11 06:29:14-07","2021-07-11","2021","7","2021-07-12 07:04:51-07","2021-07-12","4fde57bd-089f-4c24-b224-b60306e1648d"
"Marin","Dolicini Fire","35","38.0975072","-122.7418335","Wildfire","2021-07-14 08:34:10-07","2021-07-14","2021","7","2021-07-15 00:13:02-07","2021-07-15","f62a9df9-8661-46de-88de-0b76128e0673"
"Modoc","Coyote Fire","110","41.28523","-121.77593","Wildfire","2021-07-09 09:41:27-07","2021-07-09","2021","7","2021-07-15 04:39:40-07","2021-07-15","3a4d4c77-ff87-458d-b906-e203fc098aa5"
"Siskiyou","Bradley Fire","357","41.25272","-121.82403","Wildfire","2021-07-11 08:08:43-07","2021-07-11","2021","7","2021-07-15 08:59:36-07","2021-07-15","a191b2bc-5dee-4511-b34b-ca06ef62b5ab"
"Modoc","Juniper Fire","1011","41.80728","-120.638464","Wildfire","2021-07-05 09:34:58-07","2021-07-05","2021","7","2021-07-15 09:09:58-07","2021-07-15","5eaaed19-b38a-49f1-84f8-78d9f8c76656"
"Siskiyou","Tennant Fire","10580","41.665191","-122.054254","Wildfire","2021-06-28 09:07:00-07","2021-06-28","2021","6","2021-07-15 09:13:33-07","2021-07-15","3a83c4bc-28cc-4792-849b-fedb5629e4bc"
"Tehama","Cannon Fire","43","40.1703","-122.64768","Wildfire","2021-07-14 08:18:48-07","2021-07-14","2021","7","2021-07-16 11:55:38-07","2021-07-16","925dcb5b-1885-407d-b441-10765a31ce97"
"San Diego","Road Fire","86","32.82731","-116.6253","Wildfire","2021-07-10 06:38:19-07","2021-07-10","2021","7","2021-07-17 06:12:30-07","2021-07-17","f4c4de41-d8d4-4c66-9d9f-4f1ba285bf59"
"Shasta","Salt Fire","12660","40.860525","-122.348956","Wildfire","2021-06-30 07:55:56-07","2021-06-30","2021","6","2021-07-19 01:46:09-07","2021-07-19","b07cd929-6dde-4ad9-b845-a2fdc5ba3f97"
"Mariposa","River Fire","9656","37.350823","-119.869785","Wildfire","2021-07-11 07:10:26-07","2021-07-11","2021","7","2021-07-19 11:39:33-07","2021-07-19","2acb95c8-7a0b-4bfc-9174-6da944037bf2"
"Tehama","Fork Fire","43","39.999396","-122.55195","Wildfire","2021-07-17 10:40:13-07","2021-07-17","2021","7","2021-07-20 08:36:44-07","2021-07-20","396abb9e-a291-4183-b0f6-798a5438868c"
"Yuba","Frenchtown Fire","45","39.383922","-121.24684","Wildfire","2021-07-20 09:36:32-07","2021-07-20","2021","7","2021-07-22 00:22:01-07","2021-07-22","8f768137-0c58-45e5-a8dd-1df9ecc7870f"
"Lassen","Chicken Fire","55","40.86955","-120.45187","Wildfire","2021-07-18 06:34:00-07","2021-07-18","2021","7","2021-07-22 02:06:48-07","2021-07-22","35d04cb5-0455-4d36-b857-d7952670aef0"
"Mono","Dexter Fire","2965","37.8024","-118.8745","Wildfire","2021-07-12 07:04:02-07","2021-07-12","2021","7","2021-07-30 02:43:42-07","2021-07-30","4b66f232-6ab8-4e00-9f8b-957296920ed9"
"Alpine","Henry Fire","1320","38.4504695","-119.7512546","Wildfire","2021-06-25 12:53:41-07","2021-06-25","2021","6","2021-07-30 02:47:10-07","2021-07-30","511f1793-96a5-4866-a993-1d271e03b076"
"Tulare","Park Fire","100","36.199833","-118.722167","Wildfire","2021-07-25 17:00:00-07","2021-07-26","2021","7","2021-07-31 01:00:00-07","2021-07-31","caf0f448-cdb3-4dc2-a247-35f6f4b41cb3"
"Monterey","Pinnacles Fire","171","36.476664","-121.224797","Wildfire","2021-07-27 17:00:00-07","2021-07-28","2021","7","2021-07-31 12:21:56-07","2021-07-31","200d07c4-0457-4421-875b-4140d482a03e"
"Los Angeles","Hungry Fire","340","34.7479248","-118.8217926","Wildfire","2021-07-30 17:00:00-07","2021-07-31","2021","7","2021-08-01 02:36:42-07","2021-08-01","161f6906-6799-45ae-b6ca-c1d470050d81"
"Calaveras","Robie Fire","153","38.054116","-120.867498","Wildfire","2021-07-29 17:00:00-07","2021-07-30","2021","7","2021-08-01 10:39:59-07","2021-08-01","47070a62-2ef3-44a9-8b98-a20e0e574f97"
"Shasta","Hiding Fire","50","40.466364","-122.482826","Wildfire","2021-07-31 17:00:00-07","2021-08-01","2021","8","2021-08-01 13:47:13-07","2021-08-01","61f3264e-f89f-42cc-820d-0e0a5ee29cdd"
"Plumas","Evans Fire","85","40.183504","-120.8468224","Wildfire","2021-07-29 12:14:42-07","2021-07-29","2021","7","2021-08-08 04:55:53-07","2021-08-08","ef12ac40-d6fb-4871-97ec-c06d0ce51efd"
"Shasta","House Fire","60","40.604986","-122.506112","Wildfire","2021-08-03 17:00:00-07","2021-08-04","2021","8","2021-08-10 13:50:02-07","2021-08-10","1704f47a-b2bc-43fc-8c49-e62ffaf6021e"
"Shasta","Nelson Fire","20","41.034362","-121.89008","Wildfire","2021-08-06 17:00:00-07","2021-08-07","2021","8","2021-08-13 01:44:38-07","2021-08-13","0249ff45-1a71-4a4f-88a7-6c1fc7a9aa20"
"Kern","Peak Fire","2098","35.41153","-118.46461","Wildfire","2021-07-20 04:40:00-07","2021-07-20","2021","7","2021-08-13 04:55:13-07","2021-08-13","fc8bd27a-c3c8-405d-b13a-d9a1396206e3"
"Nevada, Placer","River Fire","2619","39.08805","-121.01468","Wildfire","2021-08-04 01:00:00-07","2021-08-04","2021","8","2021-08-13 12:54:07-07","2021-08-13","178aba5f-4c67-4830-891d-b8fec84706da"
"Lake","Coyote Fire","127","38.826123","-122.581257","Wildfire","2021-08-12 17:00:00-07","2021-08-13","2021","8","2021-08-15 14:46:50-07","2021-08-15","e8842a17-4f53-4803-9350-838ec34e66e9"
"Los Angeles","Antonio Fire","50","34.23604","-117.65989","Wildfire","2021-08-03 06:02:00-07","2021-08-03","2021","8","2021-08-16 01:00:00-07","2021-08-16","bd71d34c-3ce0-419d-a2fe-2ef46a750e06"
"Mendocino","Bell Fire","50","39.834099","-123.637032","Wildfire","2021-08-13 17:00:00-07","2021-08-14","2021","8","2021-08-19 12:48:14-07","2021-08-19","3657f103-fe9f-4bfc-a09e-9aa291301266"
"Yuba","Glen Fire","184","39.403918","-121.30845","Wildfire","2021-08-10 17:00:00-07","2021-08-11","2021","8","2021-08-21 13:07:35-07","2021-08-21","a26becf4-249f-451e-b8a3-e55032e6df61"
"Lake","Cache Fire","83","38.928133","-122.601395","Wildfire","2021-08-18 05:34:00-07","2021-08-18","2021","8","2021-08-23 00:00:00-07","2021-08-23","8e3e3fe1-669f-4cf8-80ee-c8df14929a22"
"Shasta","Mule Fire","10","40.616416","-122.514391","Wildfire","2021-08-24 17:00:00-07","2021-08-25","2021","8","2021-08-25 13:04:50-07","2021-08-25","f19d2b70-1d83-4abc-a173-7b00584e1c49"
"Riverside","Rock Fire","295","33.474823","-116.659688","Wildfire","2021-08-24 06:38:00-07","2021-08-24","2021","8","2021-08-27 12:35:10-07","2021-08-27","46498648-eff1-492f-b88f-1826ecd224a6"
"Riverside","Westward Fire","160","33.918089","-116.877776","Wildfire","2021-08-25 07:17:00-07","2021-08-25","2021","8","2021-08-28 02:24:00-07","2021-08-28","8cfa988a-cf5d-418c-8d4d-e0be072e397c"
"Riverside, San Diego","Chaparral Fire","1427","33.484721","-117.39309","Wildfire","2021-08-28 05:40:00-07","2021-08-28","2021","8","2021-09-01 00:02:27-07","2021-09-01","64a7c61a-5634-410a-a1c4-aeb97b2283e0"
"Tuolumne","Washington Fire","100","37.962933","-120.402221","Wildfire","2021-08-26 06:20:00-07","2021-08-26","2021","8","2021-09-01 12:34:51-07","2021-09-01","726eeb97-b91c-4555-a180-be16e599466f"
"San Bernardino","South Fire","680","34.186147","-117.440263","Wildfire","2021-08-25 09:11:00-07","2021-08-25","2021","8","2021-09-02 08:25:13-07","2021-09-02","4cfd11fa-b33f-4de6-8d17-bbaa27b2c9cb"
"San Bernardino","Roadside Fire","50","34.25145","-117.4546","Wildfire","2021-08-28 04:25:00-07","2021-08-28","2021","8","2021-09-02 13:01:42-07","2021-09-02","9f0d7a3b-ae47-42a5-b360-ea2f4141cad4"
